carbon,oxygen,feet,,,,,,,,,,,,,
0.03,-5.67,4584,,,,,,,,,,,,,
0.05,-5.43,4584,,,,,,,,,,,,,
-0.30,-5.67,4587,,,,,,,,,,,,,
-0.29,-5.55,4590,,,,,,,,,,,,,
-0.69,-5.53,4592,,,,,,,,,,,,,
-0.39,-5.33,4595,,,,,,,,,,,,,
-0.35,-5.63,4598,,,,,,,,,,,,,
-0.36,-5.69,4598,,,,,,,,,,,,,
-0.65,-6.00,4601,,,,,,,,,,,,,
-0.71,-5.81,4604,,,,,,,,,,,,,
-0.31,-5.49,4607,,,,,,,,,,,,,
-0.39,-5.52,4613,,,,,,,,,,,,,
-0.30,-5.51,4613,,,,,,,,,,,,,
0.02,-6.02,4616,,,,,,,,,,,,,
0.10,-6.19,4619,,,,,,,,,,,,,
0.13,-6.27,4622,,,,,,,,,,,,,
0.20,-6.43,4625,,,,,,,,,,,,,
0.24,-6.17,4628,,,,,,,,,,,,,
0.25,-6.32,4631,,,,,,,,,,,,,
0.24,-6.53,4631,,,,,,,,,,,,,
0.33,-6.31,4634,,,,,,,,,,,,,
0.21,-6.21,4637,,,,,,,,,,,,,
0.09,-6.27,4640,,,,,,,,,,,,,
0.27,-6.54,4643,,,,,,,,,,,,,
-0.19,-7.14,4646,,,,,,,,,,,,,
0.37,-6.66,4646,,,,,,,,,,,,,
0.10,-6.42,4649,,,,,,,,,,,,,
0.24,-6.18,4652,,,,,,,,,,,,,
0.23,-6.22,4655,,,,,,,,,,,,,
0.30,-6.07,4658,,,,,,,,,,,,,
0.19,-6.24,4661,,,,,,,,,,,,,
0.26,-6.38,4661,,,,,,,,,,,,,
0.22,-6.57,4664,,,,,,,,,,,,,
0.20,-6.31,4667,,,,,,,,,,,,,
0.32,-6.25,4670,,,,,,,,,,,,,
0.21,-6.20,4673,,,,,,,,,,,,,
0.14,-6.50,4676,,,,,,,,,,,,,
0.22,-6.60,4676,,,,,,,,,,,,,
0.33,-6.11,4679,,,,,,,,,,,,,
0.17,-6.32,4682,,,,,,,,,,,,,
0.07,-6.42,4685,,,,,,,,,,,,,
0.20,-6.23,4686,,,,,,,,,,,,,
0.08,-6.41,4688,,,,,,,,,,,,,
0.14,-6.12,4691,,,,,,,,,,,,,
0.04,-6.52,4691,,,,,,,,,,,,,
0.17,-6.27,4694,,,,,,,,,,,,,
0.12,-6.55,4697,,,,,,,,,,,,,
0.17,-6.43,4700,,,,,,,,,,,,,
0.29,-6.73,4706,,,,,,,,,,,,,
0.17,-6.64,4721,,,,,,,,,,,,,
0.03,-7.00,4736,,,,,,,,,,,,,
-0.05,-6.74,4751,,,,,,,,,,,,,
-0.44,-6.71,4766,,,,,,,,,,,,,
-0.40,-6.62,4781,,,,,,,,,,,,,
0.10,-6.52,4796,,,,,,,,,,,,,
0.29,-6.85,4812,,,,,,,,,,,,,
0.04,-6.66,4827,,,,,,,,,,,,,
0.23,-6.92,4839,,,,,,,,,,,,,
0.09,-6.79,4854,,,,,,,,,,,,,
0.21,-6.00,4869,,,,,,,,,,,,,
0.55,-5.77,4884,,,,,,,,,,,,,
-0.19,-6.86,4914,,,,,,,,,,,,,
-0.55,-6.46,4929,,,,,,,,,,,,,
-0.97,-4.27,4945,,,,,,,,,,,,,
-0.72,-5.31,4959,,,,,,,,,,,,,
-1.24,-4.34,4974,,,,,,,,,,,,,
-1.64,-4.22,4989,,,,,,,,,,,,,
-2.35,-6.60,5004,,,,,,,,,,,,,
-2.18,-5.16,5017,,,,,,,,,,,,,
-2.84,-8.68,5031,,,,,,,,,,,,,
-1.87,-5.35,5046,,,,,,,,,,,,,
-1.57,-4.33,5061,,,,,,,,,,,,,
-2.26,-4.71,5076,,,,,,,,,,,,,
-2.58,-5.42,5091,,,,,,,,,,,,,
-3.50,-5.73,5104,,,,,,,,,,,,,
-2.88,-5.09,5119,,,,,,,,,,,,,
-3.63,-5.60,5133,,,,,,,,,,,,,
-1.74,-5.87,5148,,,,,,,,,,,,,
-2.98,-5.86,5163,,,,,,,,,,,,,
-1.74,-4.46,5178,,,,,,,,,,,,,
-2.12,-4.92,5190,,,,,,,,,,,,,
-4.41,-5.50,5206,,,,,,,,,,,,,
-1.38,-3.73,5220,,,,,,,,,,,,,
-1.50,-4.37,5235,,,,,,,,,,,,,
-2.77,-3.45,5248,,,,,,,,,,,,,
-2.55,-3.93,5265,,,,,,,,,,,,,
-4.65,-3.86,5277,,,,,,,,,,,,,
-4.01,-3.43,5292,,,,,,,,,,,,,
-3.42,-2.95,5323,,,,,,,,,,,,,
-3.64,-3.28,5335,,,,,,,,,,,,,
-3.84,-3.51,5350,,,,,,,,,,,,,
-2.56,-3.65,5365,,,,,,,,,,,,,
-2.09,-3.89,5380,,,,,,,,,,,,,
-2.34,-4.32,5395,,,,,,,,,,,,,
-2.59,-3.71,5408,,,,,,,,,,,,,
-3.26,-3.75,5423,,,,,,,,,,,,,
-3.57,-3.70,5438,,,,,,,,,,,,,
-6.37,-4.35,5453,,,,,,,,,,,,,
-6.55,-4.87,5468,,,,,,,,,,,,,
-6.62,-3.51,5480,,,,,,,,,,,,,
-5.61,-3.63,5495,,,,,,,,,,,,,
-6.82,-4.23,5510,,,,,,,,,,,,,
-4.42,-4.75,5525,,,,,,,,,,,,,
-4.82,-3.75,5538,,,,,,,,,,,,,
-2.62,-4.82,5553,,,,,,,,,,,,,
-1.56,-4.86,5568,,,,,,,,,,,,,
-0.45,-4.45,5583,,,,,,,,,,,,,
-0.60,-5.08,5598,,,,,,,,,,,,,
-1.03,-5.58,5613,,,,,,,,,,,,,
-1.57,-4.78,5625,,,,,,,,,,,,,
-1.17,-4.47,5640,,,,,,,,,,,,,
-1.20,-5.21,5655,,,,,,,,,,,,,
-0.52,-5.25,5673,,,,,,,,,,,,,
-0.70,-4.41,5685,,,,,,,,,,,,,
-2.36,-5.52,5700,,,,,,,,,,,,,
-2.40,-6.55,5712,,,,,,,,,,,,,
-1.47,-3.83,5727,,,,,,,,,,,,,
-1.45,-4.42,5743,,,,,,,,,,,,,
-2.22,-5.37,5758,,,,,,,,,,,,,
-0.71,-4.27,5770,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
