unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
16610,4299,523,1,20642.252,"Unnamed",,"","","","",0,0.0117,10,0,"surface",0,0
38264,9906,1660,1,32841.469,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
14287,3802,473,1,10016.733,"Unnamed",,"","","","",0,0.4398,0,0,"surface",0,0
36788,9402,1613,1,40588.414,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
4763,983,121,1,10497.429,"Unnamed",,"","","","",0,0.0059,5,0,"both",0,0
6312,1521,203,1,1420.329,"Unnamed",,"","","","",0,0.0117,25,0,"surface",0,0
11694,3161,437,1,15421.678,"Martinsville Fm",1237,"","Martinsville","","",0,0.6538,10,0,"",0,0
26230,7906,1290,4,2811.047,"calcareous ooze",,"","","","",0,3.75,14.4,14.4,"subsurface",0,0
13736,3644,462,1,33541.77,"Unnamed",,"","","","",0,0.6538,100,10,"surface",0,0
6741,1686,239,1,4880.371,"Unnamed",,"","","","",0,0.0117,30,0,"surface",0,0
7466,1969,293,1,31115.18,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
10904,2893,403,1,72316.008,"Surficial Deposits",,"","","","",0,0.0059,0,0,"",0,0
22455,6262,801,1,36852.895,"Unnamed",,"","","","",0,0.0117,83,0,"",0,0
17564,4550,545,1,79274.312,"Undifferentiated",,"","","","",0,0.4398,14,0,"both",0,0
33762,8274,1459,1,24919.49,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
12836,3389,446,1,11712.055,"Unnamed",,"","","","",0,0.4398,52,0,"surface",0,0
38545,10021,1674,1,36967.613,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
9988,2522,353,1,8196.246,"Unnamed",,"","","","",0,0.0117,20,0,"",0,0
14125,3752,469,1,21498.912,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
34261,8517,1482,1,12812.175,"unnamed",,"","","","",0,0.0088,0,0,"",0,0
9474,2375,340,1,21013.658,"Oahe Fm",1446,"","Oahe","","",0,0.0117,10,0,"both",0,0
8808,2228,326,1,16978.594,"Unnamed",,"","","","",0,0.6538,100,0,"surface",0,0
1771,226,49,1,33159.254,"Unnamed",,"","","","",0,0.6538,35,0,"surface",0,0
6550,1601,223,1,10640.189,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
5454,1283,158,1,23283.85,"Unnamed",,"","","","",0,0.0117,30,0,"surface",0,0
4977,1122,134,1,1854.219,"Unnamed",,"","","","",0,0.0117,25,0,"surface",0,0
25779,7540,1249,7,75652.391,"unnamed",,"","","","",0,1.5436,0,0,"",0,0
34387,8583,1488,1,8414.364,"unnamed",,"","","","",0,0.0088,0,0,"",0,0
29556,7649,1362,4,2809.413,"clay",,"","","","",0,0.31,7.6,7.6,"subsurface",0,0
38194,9880,1657,1,30825.119,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
4490,847,109,1,36881.723,"Residual Soil",,"","","","",0,0.0117,3,0,"surface",0,0
