unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
21962,6009,755,1,87643.242,"Franklin Strait",5223,"","Franklin Strait","","",433.4,456.5,0,0,"",0,0
21920,5990,752,1,78079.453,"Unnamed",,"","","","",433.4,470,0,0,"",0,0
39775,10521,1746,8,142512.25,"Nhamunda Fm",102350,"","Nhamunda","Trombetas","",434.25,445.2,310,0,"",0,0
39819,10539,1748,8,83005.234,"Pitinga",102351,"","Pitinga","Trombetas","",434.25,445.2,75,0,"",0,0
13483,3559,456,1,32141.57,"Hanson Creek Fm",831,"","Hanson Creek","","",434.675,450.25,160,0,"surface",1,2
22265,6179,774,1,88428.953,"Baillarge",4847,"","Baillarge","Brodeur","",435.168,477.7,514,120,"",0,0
34544,8645,1495,1,14197.224,"Beaverfoot",4877,"","Beaverfoot","","",436,447.7,510,510,"",11,38
37973,9785,1648,1,11223.639,"Vunta Fm",6096,"","Vunta","","",436,483.475,870,870,"",8,18
14338,3810,474,1,8202.173,"Upper Ely Springs Dolomite",3920,"","Ely Springs Dolomite","","",436,448.05,120,0,"surface",0,0
37688,9680,1638,1,9258.513,"Beaverfoot Fm",4877,"","Beaverfoot","","",436,449,500,500,"",35,75
37705,9687,1639,1,6418.854,"Beaverfoot Fm",4877,"","Beaverfoot","","",436,449,510,510,"",5,11
21849,6426,818,1,8891.328,"Unnamed",,"","","","",437.225,450,1829,305,"",0,0
22815,6166,777,1,60370.172,"Stonewall",7656,"","Stonewall","","",438.5,445.1,0,0,"",8,59
22808,6216,765,1,89130.922,"Stonewall",7656,"","Stonewall","","",438.5,445.1,34,0,"",0,0
19112,5043,636,1,5649.92,"White Head Pabos",7991,"","Pabos-White Head","","",438.5,451,1219,0,"",121,793
35736,9001,1560,1,7156.626,"Hazen Fm",9762,"","Hazen","","",438.5,471.925,120,120,"",0,0
35642,8972,1551,1,4657.15,"Hazen Fm",9762,"","Hazen","","",438.5,449,90,90,"",0,0
5505,1300,157,1,46089.656,"Cason Shale",4059,"","Cason Shale","","",438.5,449,4,0,"subsurface",0,0
9269,2338,336,1,28264.65,"Stonewall Fm",7656,"","Stonewall","","",438.5,446.15,34,0,"both",0,0
14251,3780,472,1,6882.684,"Ely Springs Dolomite",3920,"","Ely Springs Dolomite","","",438.5575,448.05,80,50,"surface",0,0
10515,2729,383,1,12425.948,"Carys Mill Fm",328,"","Carys Mill","","",438.8833,450.25,2000,0,"surface",0,0
10514,2729,383,1,12425.948,"Aroostook River Fm",65,"","Aroostook River","","",439.075,446.4667,600,0,"surface",0,0
2252,375,64,1,22085.896,"Valmont Dolomite",4005,"","Valmont Dolomite","","",439.825,449,66,46,"both",0,0
10797,2845,397,1,31069.246,"Livengood Dome Chert",4734,"","Livengood Dome Chert","","",439.825,454.5,600,300,"surface",0,0
35585,8958,1547,1,4400.292,"Hazen Fm",9762,"","Hazen","","",440.8,450.25,150,150,"",0,0
9745,2453,344,1,30736.227,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,20,0,"subsurface",0,0
9414,2366,339,1,40685.355,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,30,0,"both",0,0
9676,2435,343,1,22995.643,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,30,0,"subsurface",0,0
9386,2361,338,1,22908.043,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,16,0,"both",0,0
9876,2495,348,1,42115.59,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,9,0,"subsurface",0,0
36002,9110,1584,1,38076.57,"Amundsen Land Gp",9857,"","","Amundsen Land","",440.8,475.775,150,50,"",0,0
9285,2342,337,1,43154.691,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,12,0,"both",0,0
35979,9103,1582,1,48008.398,"Tureso Fm",9847,"","Tureso","","",440.8,446.15,150,110,"",0,0
39440,10409,1723,8,158280.844,"Ipu",102156,"","Ipu","Serra Grande","",440.8,453,345,0,"",0,0
9817,2475,346,1,26650.545,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,18,0,"subsurface",0,0
39339,10384,1720,8,115866.461,"Ipu",102156,"","Ipu","Serra Grande","",440.8,453,350,0,"",0,0
9533,2392,340,1,21013.658,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,35,0,"subsurface",0,0
35933,9099,1579,1,19896.434,"Aleqatsiaq Fjord Fm",9812,"","Aleqatsiaq Fjord","Morris Bugt","",440.8,449.25,250,250,"",0,0
11581,3113,432,1,42690.191,"Wilhelmi Fm",2293,"","Wilhelmi","","",440.8,445.8333,30,0,"",1,20
9664,2430,342,1,36781.879,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,35,0,"subsurface",0,0
35461,8933,1541,1,14464.45,"Allen Bay Fm",3176,"","Allen Bay","","",440.8,449.25,1160,180,"",3,9
9545,2397,341,1,39055.152,"Stonewall Fm",7656,"","Stonewall","","",440.8,446.15,35,0,"subsurface",0,0
39405,10400,1722,8,168134.562,"Ipu",102156,"","Ipu","Serra Grande","",440.8,453,350,0,"",0,0
21860,5961,599,1,12602.958,"Unnamed",,"","","","",440.8,450.17,0,0,"",0,0
39307,10377,1719,8,81365.883,"Ipu Fm",102156,"","Ipu","Serra Grande","",440.8,444.85,320,0,"",0,0
35993,9108,1583,1,103128.883,"Tureso Fm",9847,"","Tureso","","",440.8,446.15,200,200,"",0,0
39848,10550,1749,8,95037.148,"Nhamunda",102350,"","Nhamunda","Trombetas","",440.8,446.5,170,0,"",0,0
