Section Number,Geographic Name,Height (m),d13C_carb,d18O_carb,d13C_org,D13C,Percent carb.,TOC (%)
D817,"Nine Mile
Pool",10,1.57,-3.44,-27,28.58,86.00%,0.44%
D817,"Nine Mile
Pool",11,1.66,-3.54,-27.84,29.5,85.50%,0.80%
D817,"Nine Mile
Pool",12,1.53,-3.1,-26.71,28.24,78.50%,0.33%
D817,"Nine Mile
Pool",13,1.48,-3.33,-27.07,28.55,91.20%,0.25%
D817,"Nine Mile
Pool",14,1.31,-3.08,-27.85,29.16,91.20%,0.36%
D817,"Nine Mile
Pool",15,0.73,-3.84,-27.28,28.01,84.90%,0.35%
D817,"Nine Mile
Pool",16,1.02,-3.81,-26.96,27.98,90.00%,0.25%
D817,"Nine Mile
Pool",17,1.14,-3.47,-27.89,29.03,87.40%,0.39%
D817,"Nine Mile
Pool",18,1.26,-3.36,-27.69,28.95,90.70%,0.43%
D817,"Nine Mile
Pool",19,1.35,-3.63,-27.37,28.72,88.60%,0.65%
D817,"Nine Mile
Pool",20,1.08,-3.61,-27.36,28.44,88.50%,0.56%
D817,"Nine Mile
Pool",21,0.76,-4.75,-27.5,28.27,74.30%,0.46%
D817,"Nine Mile
Pool",22,0.85,-3.78,-30.01,30.86,90.30%,0.63%
D817,"Nine Mile
Pool",23,0.29,-4.79,-30.28,30.57,82.30%,1.62%
D817,"Nine Mile
Pool",24,0.02,-4.18,-28.61,28.63,86.60%,0.22%
D817,"Nine Mile
Pool",25,-0.2,-3.77,-29.05,28.85,83.00%,0.47%
D817,"Nine Mile
Pool",26,0.06,-3.53,-28.69,28.75,91.80%,0.35%
911,"Nine Mile
Pool",0,4.42,-2.92,-26.29,30.71,,
911,Nine Mile,0.3,4.31,-3.15,-24.49,28.8,,
,"Pool
Nine Mile",,,,,,,
"911
911","Pool Nine Mile
Pool","0.40
0.45","4.49
2.11",-6.63,-50.97,"30.69
26.88",,
911,"Nine Mile
Pool",0.5,2.56,-3.69,-28.43,30.98,,
911,"Nine Mile
Pool",0.7,2.27,-3.57,-27.02,29.29,,
911,"Nine Mile
Pool",0.9,2.12,-4.48,-28.6,30.73,,
911,"Nine Mile
Pool",1,1.74,-3.76,-27.55,29.29,,
911,"Nine Mile
Pool",1.3,2.03,-4.26,-28.38,30.41,,
